"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2835831456839500032",="2835831456839500032","味千拉面猪骨汤拉面307g*5袋半干面速食面条日式豚骨拉面带汤料包","69.90","1","null","null","null","null","交易成功","null",="2022082222001156601439471640","48.11","48.11","没有申请退款","无退款申请","2022-08-22 19:52:40","2022-08-22 19:52:41"
="2837041778465701917",="2837041778465701917","海天盐焗鸡粉专用料30g*3袋 广东客家盐局鸡粉鸡爪虾沙姜粉家用","5.90","1","HTZH56","净含量：30g;口味：盐焗鸡粉30g*3袋（送上色黄栀子）","null","放驿站就好","卖家已发货，等待买家确认","HTZH56",="2022082222001161021430047577","5.90","5.90","退款关闭","0.00","2022-08-22 19:49:41","2022-08-22 19:49:51"
="2836715509168351415",="2836715509168351415","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","8.50","1","AQZH34","颜色分类：【甜味型】甜酒曲8g*10袋（无赠品）","null","null","交易成功","AQZH34",="2022082222001166751445718629","8.25","8.25","没有申请退款","无退款申请","2022-08-22 19:48:38","2022-08-22 19:48:47"
="2837412111208711600",="2837412111208711600","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","8.50","1","AQZH34","颜色分类：【甜味型】甜酒曲8g*10袋（无赠品）","null","null","交易成功","AQZH34",="2022082222001175041429079575","8.25","8.25","没有申请退款","无退款申请","2022-08-22 19:46:07","2022-08-22 19:46:14"
="2837047430699250827",="2837047430699250827","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","18.50","1","AQZH32","颜色分类：【甜味型】甜酒曲8g*30袋（无赠品）","null","null","交易成功","AQZH32",="2022082222001185181432705034","17.95","17.95","没有申请退款","无退款申请","2022-08-22 19:45:57","2022-08-22 19:45:58"
="1647572235095738199",="1647572235095738199","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","9.90","1","AQZH41","颜色分类：【风味型】甜酒曲8g*10袋（送蒸布+量勺5件套）","null","null","交易成功","AQZH41",="2022082222001175301415730657","9.63","9.63","没有申请退款","无退款申请","2022-08-22 19:45:12","2022-08-22 19:45:35"
="2837425971535297435",="2837425971535297435","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：（新品）三鲜牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022082222001111561427114507","6.56","6.56","没有申请退款","无退款申请","2022-08-22 19:45:05","2022-08-22 19:45:18"
="2837035298610603326",="2837035298610603326","太太乐三鲜鸡精500g*2袋替代味精三鲜鸡精家用炒菜煲汤火锅调味料","39.60","1","TTLZH13","null","null","null","交易成功","TTLZH13",="2022082222001176561419895821","38.42","38.42","没有申请退款","无退款申请","2022-08-22 19:44:08","2022-08-22 19:44:09"
="2829852435710152132",="2829852435710152132","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","5.50","1","AQZH31","颜色分类：【甜味型】甜酒曲8g*5袋（送蒸布）","null","null","交易成功","AQZH31",="2022082222001142601454439999","5.34","5.34","没有申请退款","无退款申请","2022-08-22 19:44:08","2022-08-22 19:44:28"
="2837421831339114154",="2837421831339114154","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","3.50","2","aqjq01","颜色分类：【甜味型】甜酒曲8g*1袋（品尝装）","null","null","交易成功","aqjq01",="2022082222001141961457654911","6.79","6.79","没有申请退款","无退款申请","2022-08-22 19:43:55","2022-08-22 19:44:01"
="2829898875598939319",="2829898875598939319","草原红太阳羊蝎子调料包200g*3袋炖羊里脊酱料商用老北京火锅底料","9.90","1","null","口味：【香辣】羊蝎子调料200g*1袋（送2包干碟）","null","null","交易成功","null",="2022082222001125011418053795","8.91","8.91","没有申请退款","无退款申请","2022-08-22 19:43:40","2022-08-22 19:43:45"
="1650971175857316371",="1650971175857316371","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨三鲜底料100g","null","null","交易成功","null",="2022082222001199071432265533","6.90","6.90","没有申请退款","无退款申请","2022-08-22 19:43:22","2022-08-22 19:43:51"
="2836699201166944827",="2836699201166944827","海天红烧酱汁800ml 红烧烹饪炒菜红烧排骨狮子头调料老抽红烧酱油","25.00","1","hthsjz001","null","null","null","交易成功","hthsjz001",="2022082222001130981452688402","8.77","8.77","没有申请退款","无退款申请","2022-08-22 19:42:15","2022-08-22 19:42:17"
="2829526958991742164",="2829526958990742164","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","13.50","1","null","口味：麻辣烫220g*1袋（3-5人份）","null","null","交易成功","null",="2022082222001140601459801021","12.83","12.83","没有申请退款","无退款申请","2022-08-22 19:41:39","2022-08-22 19:41:40"
="2829526958992742164",="2829526958990742164","陈克明儿童挂面条280g*3袋无盐蔬菜杂粮小面高钙挂面营养面条早餐","19.80","1","null","口味：蔬菜小面280g*3袋","null","null","交易成功","null",="2022082222001140601459801021","19.21","19.21","没有申请退款","无退款申请","2022-08-22 19:41:39","2022-08-22 19:41:40"
="2829526958993742164",="2829526958990742164","海天金标蚝油360g 家用拌馅炒菜凉拌挤挤装小瓶蚝油烹饪火锅蘸料","7.50","1","htjbhy01","净含量：360g","null","null","交易成功","htjbhy01",="2022082222001140601459801021","3.00","3.00","退款成功","3.00","2022-08-22 19:41:39","2022-08-22 19:41:40"
="2828252556063275419",="2828252556063275419","雀巢Maggi美极土豆泥冲泡代餐方便即食宵夜速食懒人食品 12盒整箱","84.80","1","MJZH57","口味：【整箱12盒】4口味各3盒","null","null","交易成功","MJZH57",="2022082222001170401412827836","64.71","64.71","没有申请退款","无退款申请","2022-08-22 19:41:34","2022-08-22 19:41:36"
="2828051460336170961",="2828051460336170961","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","4.50","1","AQZH43","颜色分类：5g*5袋【无赠品】","null","null","交易成功","AQZH43",="2022082222001130541456637223","4.28","4.28","没有申请退款","无退款申请","2022-08-22 19:37:58","2022-08-22 19:38:05"
="1647585231972943767",="1647585231972943767","陈克明儿童挂面条280g*3袋无盐蔬菜杂粮小面高钙挂面营养面条早餐","19.80","1","null","口味：钙铁锌挂面*2袋+高钙挂面*1袋","null","null","交易成功","null",="2022082222001154831452500553","19.55","19.55","没有申请退款","无退款申请","2022-08-22 19:37:50","2022-08-22 19:37:51"
="2829060217838302803",="2829060217838302803","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","4.90","1","AQZH35","颜色分类：【甜味型】甜酒曲8g*5袋（无赠品）","null","null","交易成功","AQZH35",="2022082222001156521448427757","4.76","4.76","没有申请退款","无退款申请","2022-08-22 19:36:58","2022-08-22 19:37:00"
="2829010681755746453",="2829010681754746453","海底捞小料台火锅蘸料油碟花生芝麻酱调料蘸酱蒜蓉沙茶酱香辣干碟","25.00","1","null","口味：【原味】烧烤调味撒料20g*10袋","null","null","交易成功","null",="2022082222001199911445445548","24.25","24.25","没有申请退款","无退款申请","2022-08-22 19:35:46","2022-08-22 19:35:56"
="2829010681756746453",="2829010681754746453","海底捞小料台火锅蘸料油碟花生芝麻酱调料蘸酱蒜蓉沙茶酱香辣干碟","25.00","1","null","口味：【15号】香辣干碟蘸料20g*10袋","null","null","交易成功","null",="2022082222001199911445445548","24.25","24.25","没有申请退款","无退款申请","2022-08-22 19:35:46","2022-08-22 19:35:56"
="2828235384913897514",="2828235384913897514","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨清油底料120g","null","第一次购买，挑选质量好的，包装完整的，日期新的，包厚些，好了回购哦！","交易成功","null",="2022082222001151571429417874","6.56","6.56","没有申请退款","无退款申请","2022-08-22 19:34:55","2022-08-22 19:35:00"
