"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1672798119227808076",="1672798119227808076","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001122761414797175","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:23:11","2022-09-17 00:24:20"
="2892590858486040404",="2892590858486040404","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","7.90","1","null","口味：青椒牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001170331453985856","7.51","7.51","没有申请退款","无退款申请","2022-09-17 00:21:03","2022-09-17 00:21:06"
="2892177361353125018",="2892177361353125018","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001146021459058432","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:18:54","2022-09-17 00:19:44"
="1672894021942613168",="1672894021942613168","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","42.40","1","null","口味：【共6盒】原味牛肉2盒+玉米2盒+洋葱2盒","null","null","交易成功","null",="2022091722001181411435923728","32.40","32.40","没有申请退款","无退款申请","2022-09-17 00:17:17","2022-09-17 00:17:18"
="2891365920438518642",="2891365920438518642","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001173171413770685","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:15:40","2022-09-17 00:15:46"
="2892895707161755556",="2892895707161755556","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","53.20","1","MJZH58","口味：【共8盒】4口味各2盒（经典款）","null","null","交易成功","MJZH58",="2022091722001109871421877093","42.20","42.20","没有申请退款","无退款申请","2022-09-17 00:15:22","2022-09-17 00:15:24"
="1672088844265184393",="1672088844265184393","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001100301410518571","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:15:00","2022-09-17 00:15:05"
="1672894201195297080",="1672894201195297080","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001181621417745007","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:13:40","2022-09-17 00:15:10"
="1672758806873733769",="1672758806873733769","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001164331450309936","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:10:43","2022-09-17 00:10:47"
="2891363220008792006",="2891363220008792006","草原红太阳烧烤酱炸串刷料酱奥尔良腌烤鸡翅料烤肉蘸料调料家用","5.80","1","null","口味：黑椒烧烤酱110g","null","null","交易成功","null",="2022091722001168971423514924","5.80","5.80","没有申请退款","无退款申请","2022-09-17 00:10:00","2022-09-17 00:12:22"
="1672791135300137070",="1672791135300137070","太太乐鲜鸡汁238g*3瓶 家用炒菜煲汤浓缩高汤液体鸡精味精调味料","36.90","1","TTLZH07","null","null","null","交易成功","TTLZH07",="2022091722001151941430803608","34.90","34.90","没有申请退款","无退款申请","2022-09-17 00:05:01","2022-09-17 00:05:10"
="2892164545402222442",="2892164545402222442","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022091722001140031405871869","20.45","20.45","没有申请退款","无退款申请","2022-09-17 00:03:19","2022-09-17 00:03:20"
="2892576494958382314",="2892576494958382314","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022091722001158211459857271","6.56","6.56","没有申请退款","无退款申请","2022-09-17 00:03:04","2022-09-17 00:03:16"
="2892162961729297933",="2892162961728297933","海天海鲜酱油500ml小瓶点蘸刺身凉拌焖炒菜火锅蘸料专用酿造酱油","10.90","1","hthxjy01","null","null","null","交易成功","hthxjy01",="2022091722001151691413204090","10.90","10.90","没有申请退款","无退款申请","2022-09-17 00:02:43","2022-09-17 00:02:58"
="2892162961730297933",="2892162961728297933","海天凉拌酱油500ml 凉拌菜专用酱油沙拉汁炒菜火锅点蘸鱼虾海鲜","25.00","1","htlbjy01","null","null","null","交易成功","htlbjy01",="2022091722001151691413204090","11.80","11.80","没有申请退款","无退款申请","2022-09-17 00:02:43","2022-09-17 00:02:58"
