"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2856040740045180825",="2856040740043180825","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022083122001158141441506409","6.56","6.56","没有申请退款","无退款申请","2022-08-31 20:09:38","2022-08-31 20:09:44"
="2856039840280077160",="2856039840280077160","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","5.50","1","AQZH31","颜色分类：【甜味型】甜酒曲8g*5袋（送蒸布）","null","null","交易成功","AQZH31",="2022083122001155761448158416","5.41","5.41","没有申请退款","无退款申请","2022-08-31 20:09:38","2022-08-31 20:09:39"
="2857654515790453837",="2857654515790453837","雀巢Maggi美极土豆泥速食冲泡桶装懒人早餐食品即食方便速溶宵夜","53.20","1","MJZH58","口味：【共8盒】4口味各2盒（经典款）","null","null","交易关闭","MJZH58",="2022083122001130411400989010","42.79","42.79","退款成功","42.79","2022-08-31 20:09:15","2022-08-31 20:09:21"
="1659119161348379166",="1659119161348379166","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022083122001101651404710501","6.56","6.56","没有申请退款","无退款申请","2022-08-31 20:08:22","2022-08-31 20:08:32"
="2856035376677396323",="2856035376677396323","陈克明鸡蛋刀削挂面1kg×2袋陕西油泼面宽面条挂面烩面速食刀削面","24.90","1","null","口味：【经典原味】刀削挂面1kg*2袋","null","null","交易成功","null",="2022083122001134271454691529","24.16","24.16","没有申请退款","无退款申请","2022-08-31 20:08:03","2022-08-31 20:08:06"
="2857294190867345565",="2857294190867345565","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：浓香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022083122001132331414940367","6.56","6.56","没有申请退款","无退款申请","2022-08-31 20:06:47","2022-08-31 20:06:53"
="2857295450070169000",="2857295450070169000","味千拉面鸡汤猪骨汤拉面305g2人份带料包速食日式拌面条锅煮面","33.90","2","null","口味：【3包组合】猪骨+鸡汤+麻辣","null","null","交易成功","null",="2022083122001125191443320301","65.77","65.77","没有申请退款","无退款申请","2022-08-31 20:05:45","2022-08-31 20:05:46"
="2857646955024956305",="2857646955024956305","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","4.50","1","AQZH43","颜色分类：5g*5袋【无赠品】","null","null","交易成功","AQZH43",="2022083122001104591441711070","4.28","4.28","没有申请退款","无退款申请","2022-08-31 20:05:06","2022-08-31 20:05:20"
="2856025764789206932",="2856025764789206932","川南麻辣/酸辣海带丝53g*15袋装组合即食小咸菜榨菜下饭菜开味菜","30.00","1","null","口味：麻辣海带丝53g*15袋","null","null","交易成功","null",="2022083122001100201404778749","21.83","21.83","没有申请退款","无退款申请","2022-08-31 20:04:08","2022-08-31 20:04:17"
="2856920797087359031",="2856920797087359031","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022083122001181241446030091","20.28","20.28","没有申请退款","无退款申请","2022-08-31 20:03:40","2022-08-31 20:03:52"
